"","subject","language","abbreviation","framesetter","topic","verb"
"180","9_D","D","1u","1","3","2"
"181","10_D","D","10b","1","2","3"
"182","10_D","D","3u","1","2","3"
"183","10_D","D","6b","1","3","2"
"184","10_D","D","4u","1","2","3"
"185","10_D","D","2u","1","2","3"
"186","10_D","D","9b","1","2","3"
"187","10_D","D","7b","1","2","3"
"188","10_D","D","6u","1","2","3"
"189","10_D","D","3b","1","2","3"
"190","10_D","D","1b","1","2","3"
"191","10_D","D","10u","1","2","3"
"192","10_D","D","5b","2","1","3"
"193","10_D","D","9u","1","2","3"
"194","10_D","D","7u","1","2","3"
"195","10_D","D","4b","1","2","3"
"196","10_D","D","8u","1","2","3"
"197","10_D","D","2b","1","2","3"
"198","10_D","D","5u","2","1","3"
"199","10_D","D","8b","1","2","3"
"200","10_D","D","1u","1","2","3"
"201","11_D","D","10b","3","1","2"
"202","11_D","D","3u","3","1","2"
"203","11_D","D","6b","3","1","2"
"204","11_D","D","4u","3","1","2"
"205","11_D","D","2u","3","1","2"
"206","11_D","D","9b","3","1","2"
"207","11_D","D","7b","3","1","2"
"208","11_D","D","6u","3","1","2"
"209","11_D","D","3b","3","1","2"
"210","11_D","D","1b","3","1","2"
"211","11_D","D","10u","3","1","2"
"212","11_D","D","5b","3","1","2"
"214","11_D","D","7u","2","3","1"
"215","11_D","D","4b","3","1","2"
"216","11_D","D","8u","1","3","2"
"217","11_D","D","2b","3","1","2"
"218","11_D","D","5u","3","1","2"
"219","11_D","D","8b","3","1","2"
"220","11_D","D","1u","3","1","2"
"221","12_D","D","10b","1","2","3"
"222","12_D","D","3u","1","2","3"
"223","12_D","D","6b","3","1","2"
"224","12_D","D","4u","1","2","3"
"225","12_D","D","2u","1","2","3"
"226","12_D","D","9b","3","1","2"
"227","12_D","D","7b","1","2","3"
"228","12_D","D","6u","1","3","2"
"229","12_D","D","3b","1","2","3"
"230","12_D","D","1b","1","2","3"
"231","12_D","D","10u","3","1","2"
"232","12_D","D","5b","1","2","3"
"233","12_D","D","9u","3","1","2"
"234","12_D","D","7u","3","1","2"
"235","12_D","D","4b","3","1","2"
"236","12_D","D","8u","3","1","2"
"237","12_D","D","2b","3","1","2"
"238","12_D","D","5u","3","1","2"
"239","12_D","D","8b","3","1","2"
"240","12_D","D","1u","3","1","2"
"241","13_D","D","10b","3","1","2"
"242","13_D","D","3u","1","2","3"
"243","13_D","D","6b","3","2","1"
"244","13_D","D","4u","1","3","2"
"245","13_D","D","2u","3","1","2"
"246","13_D","D","9b","3","1","2"
"247","13_D","D","7b","3","1","2"
"248","13_D","D","6u","2","3","1"
"249","13_D","D","3b","2","1","3"
"250","13_D","D","1b","3","2","1"
"251","13_D","D","10u","3","1","2"
"252","13_D","D","5b","2","3","1"
"253","13_D","D","9u","3","2","1"
"254","13_D","D","7u","1","2","3"
"255","13_D","D","4b","3","1","2"
"256","13_D","D","8u","3","1","2"
"257","13_D","D","2b","3","1","2"
"258","13_D","D","5u","1","3","2"
"259","13_D","D","8b","3","1","2"
"260","13_D","D","1u","1","3","2"
"261","15_D","D","10b","2","1","3"
"262","15_D","D","3u","2","1","3"
"263","15_D","D","6b","1","2","3"
"264","15_D","D","4u","1","2","3"
"265","15_D","D","2u","1","2","3"
"266","15_D","D","9b","3","1","2"
"267","15_D","D","7b","1","2","3"
"268","15_D","D","6u","1","2","3"
"269","15_D","D","3b","1","2","3"
"270","15_D","D","1b","1","2","3"
"271","15_D","D","10u","1","2","3"
"272","15_D","D","5b","2","1","3"
"273","15_D","D","9u","3","1","2"
"274","15_D","D","7u","1","2","3"
"275","15_D","D","4b","1","2","3"
"276","15_D","D","8u","1","2","3"
"277","15_D","D","2b","1","2","3"
"278","15_D","D","5u","1","2","3"
"279","15_D","D","8b","3","1","2"
"281","16_D","D","10b","1","2","3"
"282","16_D","D","3u","1","2","3"
"283","16_D","D","6b","2","1","3"
"284","16_D","D","4u","2","1","3"
"285","16_D","D","2u","1","2","3"
"286","16_D","D","9b","1","2","3"
"287","16_D","D","7b","1","2","3"
"288","16_D","D","6u","1","2","3"
"289","16_D","D","3b","3","1","2"
"290","16_D","D","1b","1","2","3"
"291","16_D","D","10u","2","1","3"
"292","16_D","D","5b","3","1","2"
"293","16_D","D","9u","1","2","3"
"294","16_D","D","7u","1","2","3"
"295","16_D","D","4b","1","2","3"
"296","16_D","D","8u","1","2","3"
"297","16_D","D","2b","3","1","2"
"298","16_D","D","5u","3","1","2"
"299","16_D","D","8b","3","1","2"
"300","16_D","D","1u","1","2","3"
"301","17_D","D","10b","3","1","2"
"302","17_D","D","3u","2","1","3"
"303","17_D","D","6b","3","1","2"
"304","17_D","D","4u","3","1","2"
"305","17_D","D","2u","3","1","2"
"306","17_D","D","9b","3","1","2"
"307","17_D","D","7b","3","1","2"
"308","17_D","D","6u","3","1","2"
"309","17_D","D","3b","3","1","2"
"310","17_D","D","1b","2","1","3"
"311","17_D","D","10u","2","1","3"
"312","17_D","D","5b","3","1","2"
"313","17_D","D","9u","3","1","2"
"314","17_D","D","7u","3","1","2"
"315","17_D","D","4b","2","1","3"
"316","17_D","D","8u","3","1","2"
"318","17_D","D","5u","3","1","2"
"319","17_D","D","8b","3","1","2"
"320","17_D","D","1u","3","1","2"
"321","18_D","D","10b","2","1","3"
"322","18_D","D","3u","2","1","3"
"323","18_D","D","6b","2","1","3"
"324","18_D","D","4u","1","2","3"
"325","18_D","D","2u","1","2","3"
"326","18_D","D","9b","1","2","3"
"327","18_D","D","7b","2","1","3"
"328","18_D","D","6u","1","2","3"
"329","18_D","D","3b","1","2","3"
"330","18_D","D","1b","1","2","3"
"331","18_D","D","10u","2","1","3"
"332","18_D","D","5b","1","2","3"
"333","18_D","D","9u","1","2","3"
"334","18_D","D","7u","1","2","3"
"335","18_D","D","4b","2","1","3"
"336","18_D","D","8u","1","2","3"
"337","18_D","D","2b","2","1","3"
"338","18_D","D","5u","1","2","3"
"339","18_D","D","8b","1","2","3"
"340","18_D","D","1u","1","2","3"
"341","19_D","D","10b","1","2","3"
"342","19_D","D","3u","1","2","3"
"343","19_D","D","6b","1","2","3"
"344","19_D","D","4u","1","2","3"
"345","19_D","D","2u","1","2","3"
"346","19_D","D","9b","1","2","3"
"347","19_D","D","7b","1","2","3"
"348","19_D","D","6u","1","2","3"
"349","19_D","D","3b","1","2","3"
"350","19_D","D","1b","1","2","3"
"351","19_D","D","10u","1","2","3"
"352","19_D","D","5b","2","1","3"
"353","19_D","D","9u","1","2","3"
"354","19_D","D","7u","1","2","3"
"355","19_D","D","4b","1","2","3"
"356","19_D","D","8u","1","2","3"
"357","19_D","D","2b","1","2","3"
"358","19_D","D","5u","1","2","3"
"359","19_D","D","8b","1","2","3"
"360","19_D","D","1u","1","2","3"
"361","20_D","D","10b","1","2","3"
"362","20_D","D","3u","1","2","3"
"363","20_D","D","6b","3","1","2"
"364","20_D","D","4u","2","1","3"
"365","20_D","D","2u","3","1","2"
"366","20_D","D","9b","3","1","2"
"367","20_D","D","7b","3","1","2"
"368","20_D","D","6u","3","1","2"
"369","20_D","D","3b","3","1","2"
"370","20_D","D","1b","3","1","2"
"371","20_D","D","10u","3","1","2"
"372","20_D","D","5b","3","1","2"
"373","20_D","D","9u","3","1","2"
"374","20_D","D","7u","3","1","2"
"375","20_D","D","4b","3","1","2"
"376","20_D","D","8u","3","1","2"
"377","20_D","D","2b","2","1","3"
"378","20_D","D","5u","3","1","2"
"379","20_D","D","8b","3","1","2"
"380","20_D","D","1u","3","1","2"
"381","21_D","D","10b","1","2","3"
"382","21_D","D","3u","2","1","3"
"383","21_D","D","6b","2","1","3"
"384","21_D","D","4u","1","2","3"
"385","21_D","D","2u","2","1","3"
"386","21_D","D","9b","2","1","3"
"387","21_D","D","7b","2","1","3"
"388","21_D","D","6u","1","2","3"
"389","21_D","D","3b","2","1","3"
"390","21_D","D","1b","3","1","2"
"391","21_D","D","10u","3","1","2"
"393","21_D","D","9u","3","2","1"
"394","21_D","D","7u","2","1","3"
"395","21_D","D","4b","1","2","3"
"396","21_D","D","8u","2","3","1"
"397","21_D","D","2b","1","2","3"
"398","21_D","D","5u","2","1","3"
"399","21_D","D","8b","3","2","1"
"400","21_D","D","1u","1","2","3"
"401","22_D","D","10b","3","1","2"
"402","22_D","D","3u","2","1","3"
"403","22_D","D","6b","3","1","2"
"404","22_D","D","4u","3","1","2"
"405","22_D","D","2u","3","1","2"
"406","22_D","D","9b","2","1","3"
"407","22_D","D","7b","3","1","2"
"408","22_D","D","6u","3","1","2"
"409","22_D","D","3b","3","1","2"
"410","22_D","D","1b","3","1","2"
"411","22_D","D","10u","3","1","2"
"412","22_D","D","5b","2","1","3"
