subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb
4,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
4,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
4,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
4,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
4,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
4,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
4,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
5,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
5,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
5,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
5,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",2,3,1
5,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,2,1
5,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
5,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
5,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,3,2
5,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen", ,2,1
5,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd", ,2,1
5,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
5,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,3,2
5,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
5,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh", ,2,1
5,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,2,1
5,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,2,1
5,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,2,1
5,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen", ,1,2
5,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",2,3,1
5,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
6,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
6,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
6,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,3,2
6,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,3,2
6,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
6,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
6,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
6,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,1,3
6,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
6,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
6,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,3,2
6,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
6,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
6,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,3,2
6,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",,2,1
6,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,3,2
6,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
6,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,3,2
6,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,3,2
6,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
7,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
7,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
7,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
7,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
7,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
7,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
7,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
7,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
7,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
7,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
7,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,2,3
7,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
7,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,2,3
7,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
7,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
7,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
7,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
7,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
7,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
7,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
8,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
8,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
8,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
8,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",2,3,1
8,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,2,1
8,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
8,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
8,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,3,2
8,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen", ,2,1
8,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd", ,2,1
8,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
8,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,3,2
8,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
8,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh", ,2,1
8,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,2,1
8,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,2,1
8,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,2,1
8,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen", ,1,2
8,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",2,3,1
8,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
9,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
9,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
9,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,3,2
9,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,3,2
9,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
9,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
9,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
9,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,1,3
9,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
9,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
9,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,3,2
9,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
9,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,3,2
9,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,3,2
9,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",,2,1
9,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,3,2
9,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
9,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,3,2
9,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,3,2
9,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
10,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
10,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
10,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,3,2
10,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
10,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
10,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
10,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
10,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
10,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
10,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
10,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,2,3
10,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
10,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,2,3
10,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
10,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
10,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
10,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
10,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",2,1,3
10,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",1,2,3
10,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
11,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
11,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",3,1,2
11,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
11,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
11,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
11,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
11,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
11,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
11,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
11,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,1,2
11,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
11,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
11,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,4
11,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",2,3,1
11,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
11,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,3,2
11,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
11,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
11,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
11,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
12,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
12,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
12,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
12,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
12,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
12,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
12,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
12,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,3,2
12,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
12,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
12,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
12,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",1,2,3
12,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
12,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
12,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
12,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
12,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
12,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
12,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
12,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",3,1,2
13,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
13,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
13,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,2,1
13,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,3,2
13,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
13,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
13,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
13,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",2,3,1
13,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",2,1,3
13,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",3,2,1
13,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",3,1,2
13,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,3,1
13,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,2,1
13,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
13,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",3,1,2
13,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
13,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
13,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,3,2
13,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
13,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,3,2
15,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",2,1,3
15,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
15,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",1,2,3
15,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",1,2,3
15,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
15,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
15,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
15,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
15,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",1,2,3
15,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
15,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",1,2,3
15,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",2,1,3
15,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
15,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
15,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
15,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
15,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",1,2,3
15,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",1,2,3
15,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
15,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,0
16,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",1,2,3
16,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",1,2,3
16,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",2,1,3
16,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",2,1,3
16,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",1,2,3
16,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",1,2,3
16,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",1,2,3
16,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",1,2,3
16,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
16,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",1,2,3
16,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
16,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
16,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",1,2,3
16,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",1,2,3
16,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",1,2,3
16,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",1,2,3
16,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",3,1,2
16,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
16,D,8b,E,8,Robbe taucht ins Wasser,tauchen,"Robbe, Ball",3,1,2
16,D,1u,E,1,Ball liegt auf dem Boden.,liegen,"Ball, Pferd",1,2,3
17,D,10b,E,10,Seemann raucht,rauchen,"Seemann, Hund",3,1,2
17,D,3u,E,3,Auto f_hrt HŸgel herunter,fahren,"Auto, Wagen",2,1,3
17,D,6b,E,6,Kuh hŸpft,hŸpfen,"Kuh, Feuerwehrmann",3,1,2
17,D,4u,E,4,Ball liegt,liegen,"Ball, €rztin",3,1,2
17,D,2u,E,2,Auto hupt,hupen,"Auto, Hund",3,1,2
17,D,9b,E,9,Robbe liegt auf Felsen,liegen,"Robbe, Pferd",3,1,2
17,D,7b,E,7,B_uerin l_uft Weg entlang,laufen,"B_uerin, Kuh",3,1,2
17,D,6u,E,6,Ball hŸpft,hŸpfen,"Ball, Feuerwehrmann",3,1,2
17,D,3b,E,3,Pferd l_uft HŸgel herunter,laufen,"Pferd, Wagen",3,1,2
17,D,1b,E,1,Bauer liegt auf dem Boden,liegen,"Bauer, Pferd",2,1,3
17,D,10u,E,10,Boot qualmt,qualmen,"Boot, Hund",2,1,3
17,D,5b,E,5,€rztin tanzt,tanzen,"€rztin, Wagen",3,1,2
17,D,9u,E,9,Ball liegt auf Felsen,liegen,"Ball, Pferd",3,1,2
17,D,7u,E,7,Reifen rollt Weg entlang,rollen,"Reifen, Kuh",3,1,2
17,D,4b,E,4,B_uerin sitzt,sitzen,"B_uerin, €rztin",2,1,3
17,D,8u,E,8,Boot sinkt,sinken,"Boot, Ball",3,1,2
17,D,2b,E,2,Kuh muht,muhen,"Kuh, Hund",2,1,
17,D,5u,E,5,Auto wackelt,wackeln,"Auto, Wagen",3,1,2
