"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"475","25_D","D","4b","E","22","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"476","25_D","D","8u","E","24","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"477","25_D","D","2b","E","26","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"478","25_D","D","5u","E","27","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"479","25_D","D","8b","E","29","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"480","25_D","D","1u","E","30","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"481","26_D","D","10b","E","1","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"482","26_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"483","26_D","D","6b","E","4","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"484","26_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"485","26_D","D","2u","E","8","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"486","26_D","D","9b","E","9","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"487","26_D","D","7b","E","11","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"488","26_D","D","6u","E","12","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"489","26_D","D","3b","E","14","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"490","26_D","D","1b","E","16","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"491","26_D","D","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"492","26_D","D","5b","E","19","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"493","26_D","D","9u","E","20","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"494","26_D","D","7u","E","21","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"495","26_D","D","4b","E","22","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"496","26_D","D","8u","E","24","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"497","26_D","D","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"498","26_D","D","5u","E","27","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"499","26_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"500","26_D","D","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"501","27_D","D","10b","E","1","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"502","27_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"503","27_D","D","6b","E","4","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"504","27_D","D","4u","E","7","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"505","27_D","D","2u","E","8","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"506","27_D","D","9b","E","9","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"507","27_D","D","7b","E","11","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"508","27_D","D","6u","E","12","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"509","27_D","D","3b","E","14","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"510","27_D","D","1b","E","16","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"511","27_D","D","10u","E","17","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"512","27_D","D","5b","E","19","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"513","27_D","D","9u","E","20","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"514","27_D","D","7u","E","21","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"515","27_D","D","4b","E","22","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"516","27_D","D","8u","E","24","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"517","27_D","D","2b","E","26","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"518","27_D","D","5u","E","27","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"519","27_D","D","8b","E","29","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"520","27_D","D","1u","E","30","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"521","28_D","D","10b","E","1","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"522","28_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"523","28_D","D","6b","E","4","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"524","28_D","D","4u","E","7","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"525","28_D","D","2u","E","8","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"526","28_D","D","9b","E","9","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"527","28_D","D","7b","E","11","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"528","28_D","D","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"529","28_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"530","28_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"531","28_D","D","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"532","28_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"533","28_D","D","9u","E","20","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"534","28_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"535","28_D","D","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"536","28_D","D","8u","E","24","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"537","28_D","D","2b","E","26","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"538","28_D","D","5u","E","27","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"539","28_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"540","28_D","D","1u","E","30","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"541","29_D","D","10b","E","1","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"542","29_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"543","29_D","D","6b","E","4","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"544","29_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"545","29_D","D","2u","E","8","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"546","29_D","D","9b","E","9","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"547","29_D","D","7b","E","11","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"548","29_D","D","6u","E","12","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"549","29_D","D","3b","E","14","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"550","29_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"551","29_D","D","10u","E","17","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"552","29_D","D","5b","E","19","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"553","29_D","D","9u","E","20","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"554","29_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"555","29_D","D","4b","E","22","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"556","29_D","D","8u","E","24","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"557","29_D","D","2b","E","26","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"558","29_D","D","5u","E","27","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"559","29_D","D","8b","E","29","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"560","29_D","D","1u","E","30","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"561","30_D","D","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"562","30_D","D","3u","E","3","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"563","30_D","D","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"564","30_D","D","4u","E","7","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"565","30_D","D","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"566","30_D","D","9b","E","9","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"567","30_D","D","7b","E","11","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"568","30_D","D","6u","E","12","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"569","30_D","D","3b","E","14","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"570","30_D","D","1b","E","16","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"571","30_D","D","10u","E","17","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"572","30_D","D","5b","E","19","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"573","30_D","D","9u","E","20","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"574","30_D","D","7u","E","21","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"575","30_D","D","4b","E","22","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"576","30_D","D","8u","E","24","2","3","1",3,1,2,"Fmid","Vfirst","Tlast","Flast","Vmid","Tfirst","TVF","VFT"
"577","30_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"578","30_D","D","5u","E","27","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"579","30_D","D","8b","E","29","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"580","30_D","D","1u","E","30","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"582","31_D","D","3u","E","3","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"583","31_D","D","6b","E","4","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"584","31_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"585","31_D","D","2u","E","8","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"586","31_D","D","9b","E","9","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"587","31_D","D","7b","E","11","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"588","31_D","D","6u","E","12","2","3","1",3,1,2,"Fmid","Vfirst","Tlast","Flast","Vmid","Tfirst","TVF","VFT"
"589","31_D","D","3b","E","14","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"590","31_D","D","1b","E","16","3","2","1",3,1,2,"Flast","Vfirst","Tmid","Flast","Vmid","Tfirst","VTF","VFT"
"591","31_D","D","10u","E","17","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"592","31_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"594","31_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"595","31_D","D","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"596","31_D","D","8u","E","24","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"597","31_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"598","31_D","D","5u","E","27","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"599","31_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"600","31_D","D","1u","E","30","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"601","33_D","D","10b","E","1","2","3","1",3,1,2,"Fmid","Vfirst","Tlast","Flast","Vmid","Tfirst","TVF","VFT"
"602","33_D","D","3u","E","3","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"603","33_D","D","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"604","33_D","D","4u","E","7","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"605","33_D","D","2u","E","8","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"606","33_D","D","9b","E","9","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"607","33_D","D","7b","E","11","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"608","33_D","D","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"609","33_D","D","3b","E","14","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"610","33_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"611","33_D","D","10u","E","17","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"612","33_D","D","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"613","33_D","D","9u","E","20","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"614","33_D","D","7u","E","21","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"615","33_D","D","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"616","33_D","D","8u","E","24","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"617","33_D","D","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"618","33_D","D","5u","E","27","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"619","33_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"620","33_D","D","1u","E","30","2","1","3",1,3,2,"Fmid","Vlast","Tfirst","Ffirst","Vmid","Tlast","TFV","FVT"
"621","34_D","D","10b","E","1","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"622","34_D","D","3u","E","3","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"623","34_D","D","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"624","34_D","D","4u","E","7","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"625","34_D","D","2u","E","8","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"626","34_D","D","9b","E","9","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"627","34_D","D","7b","E","11","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"628","34_D","D","6u","E","12","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"629","34_D","D","3b","E","14","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"630","34_D","D","1b","E","16","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"631","34_D","D","10u","E","17","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"632","34_D","D","5b","E","19","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"633","34_D","D","9u","E","20","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"634","34_D","D","7u","E","21","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"635","34_D","D","4b","E","22","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"637","34_D","D","2b","E","26","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"638","34_D","D","5u","E","27","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"639","34_D","D","8b","E","29","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"640","34_D","D","1u","E","30","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"641","35_D","D","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"642","35_D","D","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"643","35_D","D","6b","E","4","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"644","35_D","D","4u","E","7","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"645","35_D","D","2u","E","8","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"646","35_D","D","9b","E","9","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"647","35_D","D","7b","E","11","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"648","35_D","D","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"649","35_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"650","35_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"651","35_D","D","10u","E","17","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"652","35_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"653","35_D","D","9u","E","20","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"654","35_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"655","35_D","D","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"656","35_D","D","8u","E","24","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"657","35_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"658","35_D","D","5u","E","27","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"659","35_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"660","35_D","D","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"663","1_E","E","10b","E","1","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"665","1_E","E","3u","E","3","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"666","1_E","E","6b","E","4","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"669","1_E","E","4u","E","7","2","1","3",1,2,3,"Fmid","Vlast","Tfirst","Ffirst","Vlast","Tmid","TFV","FTV"
"670","1_E","E","2u","E","8","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"671","1_E","E","9b","E","9","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"673","1_E","E","7b","E","11","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"674","1_E","E","6u","E","12","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"676","1_E","E","3b","E","14","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"678","1_E","E","1b","E","16","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"679","1_E","E","10u","E","17","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"681","1_E","E","5b","E","19","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"682","1_E","E","9u","E","20","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"683","1_E","E","7u","E","21","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"684","1_E","E","4b","E","22","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"686","1_E","E","8u","E","24","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
"688","1_E","E","2b","E","26","1","2","3",1,2,3,"Ffirst","Vlast","Tmid","Ffirst","Vlast","Tmid","FTV","FTV"
