"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"69","4_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"71","4_D","D","10u","E","17","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"72","4_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"73","4_D","D","9u","E","20","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"74","4_D","D","7u","E","21","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"76","4_D","D","8u","E","24","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"77","4_D","D","2b","E","26","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"78","4_D","D","5u","E","27","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"79","4_D","D","8b","E","29","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"80","4_D","D","1u","E","30","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"81","5_D","D","10b","E","1","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"82","5_D","D","3u","E","3","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"83","5_D","D","6b","E","4","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"84","5_D","D","4u","E","7","2","3","1",1,3,2,"Fmid","Vfirst","Tlast","Ffirst","Vmid","Tlast","TVF","FVT"
"85","5_D","D","2u","E","8","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"86","5_D","D","9b","E","9","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"87","5_D","D","7b","E","11","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"88","5_D","D","6u","E","12","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"91","5_D","D","10u","E","17","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"92","5_D","D","5b","E","19","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"93","5_D","D","9u","E","20","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"95","5_D","D","4b","E","22","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"96","5_D","D","8u","E","24","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"97","5_D","D","2b","E","26","3","2","1",1,3,2,"Flast","Vfirst","Tmid","Ffirst","Vmid","Tlast","VTF","FVT"
"99","5_D","D","8b","E","29","2","3","1",1,3,2,"Fmid","Vfirst","Tlast","Ffirst","Vmid","Tlast","TVF","FVT"
"100","5_D","D","1u","E","30","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"101","6_D","D","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"102","6_D","D","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"103","6_D","D","6b","E","4","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"104","6_D","D","4u","E","7","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"105","6_D","D","2u","E","8","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"106","6_D","D","9b","E","9","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"107","6_D","D","7b","E","11","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"108","6_D","D","6u","E","12","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"109","6_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"110","6_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"111","6_D","D","10u","E","17","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"112","6_D","D","5b","E","19","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"113","6_D","D","9u","E","20","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"114","6_D","D","7u","E","21","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"116","6_D","D","8u","E","24","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"117","6_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"118","6_D","D","5u","E","27","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
