subject,language,abbreviation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,,,,,,,,,,,,,
6,T,Tu,T,T,Reifen dreht sich,dönmek,"Reifen, Hund",2,1,3,,,,,,,,,,,,,
6,T,10b,E,1,Seemann raucht,sigara içmek,"Seemann, Hund",2,1,3,,,,,,,,,,,,,
6,T,,F,2,Pferd trägt Ball im Maul,ta_ımak,"Pferd, Bauer, Robbe",,1.2,3,,,,,,,,,,,,,
6,T,3u,E,3,Auto fährt Hügel herunter,ilerlemek,"Auto, Wagen",2,1,3,,,,,,,,,,,,,
6,T,6b,E,4,Kuh hüpft,zıplamak,"Kuh, Feuerwehrmann",2,1,3,,,,,,,,,,,,,
6,T,,F,5,Boot schwimmt im Meer,yüzmek,"Seemann, Boot",,1,2,,,,,,,,,,,,,
6,T,,F,6,Bauer läuft über eine Wiese,ko_mak,"Bäuerin, Pferd, Bauer",,1,2,,,,,,,,,,,,,
6,T,4u,E,7,Ball liegt,durmak,"Ball, Ärztin",2,1,3,,,,,,,,,,,,,
6,T,2u,E,8,Auto hupt,kornak çalmak,"Auto, Hund",2,1,3,,,,,,,,,,,,,
6,T,9b,E,9,Robbe liegt auf Felsen,yatmak,"Robbe, Pferd",2,1,3,,,,,,,,,,,,,
6,T,,F,10,Auto wackelt,sallanmak,Auto,,1,2,,,,,,,,,,,,,
6,T,7b,E,11,Bäuerin läuft Weg entlang,yürümek,"Bäuerin, Kuh",2,1,3,,,,,,,,,,,,,
6,T,6u,E,12,Ball hüpft,zıplamak,"Ball, Feuerwehrmann",2,1,3,,,,,,,,,,,,,
6,T,,F,13,Auto schiebt (Pferde-)Wagen,itmek,"Ärztin, Ball, Reifen, Auto, Wagen",,1.2,3,,,,,,,,,,,,,
6,T,3b,E,14,Pferd läuft Hügel herunter,ko_mak,"Pferd, Wagen",2,1,3,,,,,,,,,,,,,
6,T,,F,15,Robbe stößt Ball mit Maul,itmek,"Feuerwehrmann, Kuh, Ball, Robbe",,1.2,3,,,,,,,,,,,,,
6,T,1b,E,16,Bauer liegt auf dem Boden,yatmak,"Bauer, Pferd",2,1,3,,,,,,,,,,,,,
6,T,10u,E,17,Boot qualmt,tütmek,"Boot, Hund",2,1,3,,,,,,,,,,,,,
