subject,language,abbrevation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,action_order,action_FTV,action_TVF,action_TFV,action_FVT,action_VTF,action_VFT,notes,oral text,oral_framesetter,oral_topic,oral_verb,oral_order,oral_FTV,oral_TVF,oral_TFV,oral_FVT,oral_VTF,oral_VFT,notes,MatchActionOral,,,,,,,,,
1,E,1u,E,30,ball lies on the ground,lie,"ball, horse",1,2,3,FTV,1,0,0,0,0,0,,At 3 the soccerball is sitting on the ground,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
2,E,Tb,T,T,woman turns around,turn,"woman, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,Tu,T,T,tire turns around,turn,"tire, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,10b,E,1,sailor smokes,smoke,"sailor, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,2,horse carries the ball,carry,"horse, farmer, seal",,1,2,,0,0,0,0,0,0,horse= topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,3u,E,3,car drives down the hill,drive,"car, cart",2,1,3,TFV,0,0,1,0,0,0,hesitates about verb,,3,1,2,TVF,0,1,0,0,0,0,,0,,,,,,,,,
2,E,6b,E,4,cow hops,hop,"cow, fireman",2,1,3,TFV,0,0,1,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,0,,,,,,,,,
2,E,,F,5,boat swims in the sea,swim,"sailor, boat",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,,F,6,farmer runs down the street,run,"farmer, horse, farmer",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,4u,E,7,ball lies,lie,"ball, doctor",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,2u,E,8,car honks,honk,"car, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,9b,E,9,seal lies on a rock,lie,"seal, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,10,car shudders,shudder,car,,1,2,,0,0,0,0,0,0,chooses float,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,7b,E,11,farmer runs across the meadow,run,"farmer, cow",na,na,na,,0,0,0,0,0,0,mix up ,,3,1,2,TVF,0,1,0,0,0,0,,n.a.,,,,,,,,,
2,E,6u,E,12,ball hops,hop,"ball, fireman",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,13,car pushes the cart,push,"doctor, ball, tire, car, cart",,1,3,,0,0,0,0,0,0,car=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,3b,E,14,horse runs down the hill,run,"horse, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,15,seal pushes the ball,push,"fireman, cow, ball, seal",,1,2,,0,0,0,0,0,0,seal=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,1b,E,16,farmer lies on the ground,lie,"farmer, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,10u,E,17,boat smokes,smoke,"boat, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,18,cow bites the farmer,bite,"dog, cow, farmer",,1,2,,0,0,0,0,0,0,cow=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,5b,E,19,doctor dances,dance,"doctor, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,9u,E,20,ball lies on a rock,lie,"ball, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,7u,E,21,tire rolls down the road,roll,"tire, cow",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,4b,E,22,farmer sits,sit,"farmer, doctor",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,23,tire lies,lie,tire,,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,8u,E,24,boat sinks,sink,"boat, ball",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,25,ball hops,hop,"ball, doctor",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,2b,E,26,cow moos,moo,"cow, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,5u,E,27,car shutters,shudder,"car, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,,F,28,doctor stands,stand,"woman, farmer, doctor",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
2,E,8b,E,29,seal dives into the water,dive,"seal, ball",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
2,E,1u,E,30,ball lies on the ground,lie,"ball, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,Tb,T,T,woman turns around,turn,"woman, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,Tu,T,T,tire turns around,turn,"tire, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
